season,season_type,game_id,week,game_date,team,opponent_team,qb_id,qb_name,wr_id,wr_name,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,2020_18_TB_WAS,18,2021-01-09,WAS,TB,00-0031800,T.Heinicke,00-0034104,C.Sims,13,7,104.0,0,2.6851192047470245,0.2065476311343865,6,0.46153846153846156,160.0,23.0,12.307692307692308,3.2857142857142856,5.0,2,2,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,WAS,TB,00-0031800,T.Heinicke,00-0034928,S.Sims,4,3,33.0,1,4.44317284127465,1.1107932103186624,2,0.5,37.0,1.0,9.25,0.3333333333333333,2.0,0,2,1
2020,POST,2020_18_TB_WAS,18,2021-01-09,WAS,TB,00-0031800,T.Heinicke,00-0035659,T.McLaurin,7,6,75.0,0,0.464090924593634,0.06629870351337629,5,0.7142857142857143,71.0,9.0,10.142857142857142,1.5,5.0,0,0,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,WAS,TB,00-0031800,T.Heinicke,00-0036142,I.Wright,1,0,0.0,0,-0.448241154430434,-0.448241154430434,0,0.0,15.0,0.0,15.0,0.0,0.0,0,0,0
2020,POST,2020_18_TB_WAS,18,2021-01-09,WAS,TB,00-0031800,T.Heinicke,00-0036328,A.Gibson,3,2,4.0,0,-1.359568887972273,-0.45318962932409096,0,0.0,0.0,9.0,0.0,4.5,0.0,0,0,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0034796,L.Jackson,00-0030663,W.Snead,3,3,18.0,0,0.98387997894315,0.32795999298105,2,0.6666666666666666,8.0,10.0,2.6666666666666665,3.3333333333333335,0.0,0,0,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0034796,L.Jackson,00-0033376,P.Ricard,1,1,11.0,0,0.313044375507161,0.313044375507161,1,1.0,-1.0,12.0,-1.0,12.0,0.0,0,0,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0034796,L.Jackson,00-0034753,M.Andrews,8,4,28.0,0,-11.741766199159994,-1.4677207748949992,2,0.25,41.0,12.0,5.125,3.0,1.0,0,1,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0034796,L.Jackson,00-0035662,M.Brown,5,3,58.0,0,3.165525564516436,0.6331051129032872,3,0.6,82.0,6.0,16.4,2.0,2.0,2,1,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0034796,L.Jackson,00-0035703,M.Boykin,3,2,16.0,0,1.006499558280582,0.335499852760194,2,0.6666666666666666,14.0,5.0,4.666666666666667,2.5,0.0,0,0,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0034796,L.Jackson,00-0036158,J.Dobbins,2,1,31.0,0,1.43674901081249,0.718374505406245,1,0.5,28.0,12.0,14.0,12.0,1.0,1,0,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0035993,T.Huntley,00-0027902,D.Bryant,1,0,0.0,0,-1.28009226592258,-1.28009226592258,0,0.0,12.0,0.0,12.0,0.0,0.0,0,0,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0035993,T.Huntley,00-0030663,W.Snead,2,2,7.0,0,-0.33347021881491,-0.166735109407455,1,0.5,6.0,1.0,3.0,0.5,0.0,0,0,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0035993,T.Huntley,00-0034753,M.Andrews,3,0,0.0,0,-4.13927934906678,-1.37975978302226,0,0.0,28.0,0.0,9.333333333333334,0.0,0.0,0,2,0
2020,POST,2020_19_BAL_BUF,19,2021-01-16,BAL,BUF,00-0035993,T.Huntley,00-0034975,J.Hill,1,0,0.0,0,-0.490570352703799,-0.490570352703799,0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,1,0
