season,season_type,player_id,player_name,team,targets,receptions,receiving_yards,receiving_tds,epa_total,epa_per_target,success_plays,success_rate,total_air_yards,total_yac_yards,avg_air_yards,avg_yac_per_reception,first_downs,explosive_plays,red_zone_targets,red_zone_tds
2020,POST,00-0036182,N.Westbrook-Ikhine,TEN,2,2,17.0,0,0.654938957071863,0.3274694785359315,1,0.5,15.0,2.0,7.5,1.0,1.0,0,0,0
2020,POST,00-0036196,G.Davis,BUF,11,4,85.0,0,0.6137500445429762,0.05579545859481602,4,0.36363636363636365,172.0,0.0,15.636363636363637,0.0,4.0,1,4,0
2020,POST,00-0036219,M.Callaway,NO,2,0,0.0,0,-1.112438061623834,-0.556219030811917,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
2020,POST,00-0036223,J.Taylor,IND,4,2,6.0,0,-1.4158343663038717,-0.35395859157596793,1,0.25,-10.0,14.0,-2.5,7.0,1.0,0,2,0
2020,POST,00-0036232,H.Bryant,CLE,1,0,0.0,0,-0.404557959642261,-0.404557959642261,0,0.0,12.0,0.0,12.0,0.0,0.0,0,0,0
2020,POST,00-0036233,D.Peoples-Jones,CLE,3,2,31.0,0,1.517168421065442,0.5057228070218139,2,0.6666666666666666,38.0,2.0,12.666666666666666,1.0,1.0,1,0,0
2020,POST,00-0036247,F.Swain,SEA,1,1,28.0,0,2.85528818180319,2.85528818180319,1,1.0,28.0,0.0,28.0,0.0,1.0,1,0,0
2020,POST,00-0036251,Z.Moss,BUF,4,4,26.0,0,2.056518980010882,0.5141297450027205,3,0.75,8.0,18.0,2.0,4.5,2.0,0,1,0
2020,POST,00-0036252,M.Pittman,IND,10,5,90.0,0,-0.13767516638778934,-0.013767516638778935,4,0.4,66.0,54.0,6.6,10.8,3.0,3,3,0
2020,POST,00-0036265,A.Dillon,GB,1,1,13.0,0,0.717395588057116,0.717395588057116,1,1.0,2.0,11.0,2.0,11.0,1.0,0,0,0
2020,POST,00-0036290,C.Kmet,CHI,4,3,16.0,0,-2.4041743400739533,-0.6010435850184883,1,0.25,1.0,15.0,0.25,5.0,0.0,0,1,0
2020,POST,00-0036326,C.Claypool,PIT,7,5,59.0,2,4.773106623321303,0.6818723747601861,4,0.5714285714285714,71.0,13.0,10.142857142857142,2.6,3.0,1,3,1
2020,POST,00-0036328,A.Gibson,WAS,3,2,4.0,0,-1.359568887972273,-0.45318962932409096,0,0.0,0.0,9.0,0.0,4.5,0.0,0,0,0
2020,POST,00-0036360,C.Edwards-Helaire,KC,5,3,23.0,0,-1.749313269646561,-0.3498626539293122,2,0.4,16.0,24.0,3.2,8.0,1.0,0,0,0
2020,POST,00-0036414,C.Akers,LA,4,3,51.0,0,4.257910225700585,1.0644775564251463,3,0.75,8.0,43.0,2.0,14.333333333333334,1.0,1,2,0
2020,POST,00-0036415,V.Jefferson,LA,7,6,46.0,1,3.70134227426024,0.5287631820371772,5,0.7142857142857143,36.0,10.0,5.142857142857143,1.6666666666666667,3.0,0,1,1
2020,POST,00-0036422,A.Trautman,NO,3,1,4.0,0,-1.591460781753994,-0.5304869272513314,0,0.0,6.0,3.0,2.0,3.0,0.0,0,0,0
2020,POST,00-0036427,T.Johnson,TB,4,2,31.0,0,2.867400566639837,0.7168501416599592,2,0.5,57.0,1.0,14.25,0.5,2.0,0,0,0
2020,POST,00-0036450,K.Vaughn,TB,1,0,0.0,0,-0.502494870917872,-0.502494870917872,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2020,REG,00-0022127,J.Witten,LV,17,13,69.0,2,2.407177959205715,0.14159870348268913,9,0.5294117647058824,91.0,20.0,5.352941176470588,1.5384615384615385,8.0,0,7,2
2020,REG,00-0022921,L.Fitzgerald,ARI,72,54,409.0,1,-1.7713509171222244,-0.024602096071142006,36,0.5,432.0,185.0,6.0,3.425925925925926,25.0,0,7,1
2020,REG,00-0023459,A.Rodgers,GB,1,1,-6.0,0,-1.35517050104681,-1.35517050104681,0,0.0,-4.0,-2.0,-4.0,-2.0,0.0,0,0,0
2020,REG,00-0023500,F.Gore,NYJ,19,16,89.0,0,0.43420873383383696,0.022853091254412473,9,0.47368421052631576,34.0,73.0,1.7894736842105263,4.5625,3.0,0,2,0
2020,REG,00-0023682,R.Fitzpatrick,MIA,1,1,0.0,0,-1.53161310218275,-1.53161310218275,0,0.0,-4.0,4.0,-4.0,4.0,0.0,0,0,0
2020,REG,00-0024243,M.Lewis,GB,17,10,107.0,3,3.9134463765658456,0.23020272803328504,8,0.47058823529411764,111.0,57.0,6.529411764705882,5.7,6.0,1,4,3
2020,REG,00-0025394,A.Peterson,DET,18,12,101.0,0,1.7225846247165493,0.09569914581758607,7,0.3888888888888889,-6.0,103.0,-0.3333333333333333,8.583333333333334,4.0,1,1,0
2020,REG,00-0025396,T.Ginn,CHI,6,3,40.0,0,-0.6106500560417785,-0.10177500934029642,2,0.3333333333333333,121.0,10.0,20.166666666666668,3.3333333333333335,1.0,1,0,0
2020,REG,00-0025418,G.Olsen,SEA,37,24,239.0,1,2.12737639143598,0.05749665922799946,20,0.5405405405405406,289.0,49.0,7.8108108108108105,2.0416666666666665,16.0,3,9,1
2020,REG,00-0026035,D.Amendola,DET,69,46,602.0,0,12.317427298847212,0.17851343911372772,37,0.5362318840579711,558.0,290.0,8.08695652173913,6.304347826086956,30.0,8,6,0
2020,REG,00-0026189,D.Jackson,PHI,26,14,236.0,1,7.3370020547300205,0.2821923867203854,12,0.46153846153846156,432.0,65.0,16.615384615384617,4.642857142857143,10.0,3,2,0
2020,REG,00-0026498,M.Stafford,DET,1,0,0.0,0,-0.46816249890253,-0.46816249890253,0,0.0,15.0,0.0,15.0,0.0,0.0,0,1,0
2020,REG,00-0027029,L.McCoy,TB,19,15,101.0,0,-0.595304243611567,-0.03133180229534563,6,0.3157894736842105,19.0,102.0,1.0,6.8,3.0,0,4,0
2020,REG,00-0027061,J.Cook,NO,60,37,504.0,7,28.561888541882023,0.4760314756980337,33,0.55,687.0,124.0,11.45,3.3513513513513513,27.0,6,15,6
2020,REG,00-0027150,J.Edelman,NE,39,21,315.0,0,-0.3457389845921466,-0.0088651021690294,20,0.5128205128205128,401.0,64.0,10.282051282051283,3.0476190476190474,18.0,3,4,0
2020,REG,00-0027656,R.Gronkowski,TB,77,45,623.0,7,23.11389812645443,0.30018049514875883,38,0.4935064935064935,845.0,246.0,10.974025974025974,5.466666666666667,29.0,10,17,5
2020,REG,00-0027685,E.Sanders,NO,82,61,726.0,5,32.73749560655135,0.3992377512994067,51,0.6219512195121951,723.0,170.0,8.817073170731707,2.7868852459016393,33.0,7,13,4
2020,REG,00-0027691,A.Roberts,BUF,5,4,34.0,0,-1.6239815693115787,-0.3247963138623157,3,0.6,48.0,5.0,9.6,1.25,2.0,0,1,0
2020,REG,00-0027696,J.Graham,CHI,76,50,456.0,8,7.926541196948896,0.104296594696696,38,0.5,519.0,198.0,6.828947368421052,3.96,32.0,4,20,7
2020,REG,00-0027793,A.Brown,TB,62,45,483.0,4,24.550108062686924,0.39596948488204714,36,0.5806451612903226,549.0,251.0,8.85483870967742,5.5777777777777775,27.0,6,6,1
2020,REG,00-0027891,G.Tate,NYG,34,24,270.0,2,6.745260858406179,0.19839002524724056,15,0.4411764705882353,259.0,65.0,7.617647058823529,2.7083333333333335,13.0,4,3,1
2020,REG,00-0027891,G.Tate III,NYG,18,11,118.0,0,6.7240994226919,0.3735610790384389,8,0.4444444444444444,205.0,10.0,11.38888888888889,0.9090909090909091,6.0,1,2,0
2020,REG,00-0027902,D.Bryant,BAL,11,6,47.0,2,1.4943519641622056,0.1358501785602005,4,0.36363636363636365,52.0,34.0,4.7272727272727275,5.666666666666667,3.0,0,2,2
2020,REG,00-0027939,C.Newton,NE,2,2,35.0,1,3.74552738224157,1.872763691120785,2,1.0,17.0,18.0,8.5,9.0,2.0,0,1,1
2020,REG,00-0027942,A.Green,CIN,104,47,523.0,2,-15.264712276453288,-0.1467760795812816,41,0.3942307692307692,1427.0,86.0,13.721153846153847,1.8297872340425532,34.0,3,9,2
